date,adj close,close,high,low,open,volume,ma_7,ma_30,ma_90,daily_return,volatility_7,volatility_30,rsi,macd,macd_signal,bb_upper,bb_lower
9/21/2021,1776,1776,1776,1759,1762.199951,106,1775.842861,1786.836658,1814.375555,0.008059911,0.010485032,0.008525894,46.28926165,-6.956753592,-2.588381259,1835.077183,1753.302797
9/22/2021,1776.699951,1776.699951,1784.300049,1767,1776.699951,17,1773.657139,1788.433321,1813.695554,0.000394117,0.01045523,0.008517342,46.52250964,-6.757814291,-3.422267866,1833.958496,1751.531482
9/23/2021,1747.699951,1747.699951,1766.800049,1738.199951,1766.800049,31,1765.514282,1788.343319,1812.364442,-0.016322396,0.011095602,0.008790665,38.97129883,-8.83832835,-4.505479963,1836.368979,1745.070999
9/24/2021,1749.699951,1749.699951,1749.699951,1745,1749.699951,76,1759.414272,1788.36665,1811.052219,0.001144361,0.01122837,0.008791839,39.69824143,-10.20809488,-5.646002947,1837.603748,1739.58623
9/27/2021,1750,1750,1754.400024,1747.5,1751.699951,808,1758.757132,1787.526652,1809.59333,0.000171486,0.008073206,0.008328228,39.81406784,-11.14100671,-6.745003698,1835.250605,1735.279376
9/28/2021,1735.800049,1735.800049,1741.699951,1726.800049,1739.599976,15748,1756.814279,1785.823319,1807.971107,-0.008114258,0.008570834,0.008332722,36.26402769,-12.87771713,-7.971546384,1834.724342,1728.485643
9/29/2021,1721.5,1721.5,1744.099976,1721.400024,1732.400024,6634,1751.057129,1783.706653,1806.246663,-0.008238304,0.00807918,0.008438884,33.06645986,-15.23237771,-9.423712648,1833.795795,1720.06419
9/30/2021,1755.300049,1755.300049,1760.300049,1724.5,1725.5,997,1748.099993,1782.829989,1804.809998,0.019634068,0.011319459,0.009251515,45.3355695,-14.20730871,-10.38043186,1829.105671,1718.974321
10/1/2021,1757,1757,1762.599976,1748.5,1754.300049,2220,1745.285714,1782.056657,1803.24222,0.000968468,0.011338547,0.00925489,45.87295675,-13.10667668,-10.92568082,1824.589823,1718.320175
10/4/2021,1766.199951,1766.199951,1768.900024,1749.5,1764.5,417,1747.928571,1781.563322,1801.741108,0.00523617,0.009418358,0.009311055,48.80610787,-11.36109506,-11.01276367,1813.829527,1722.610463
10/5/2021,1759.599976,1759.599976,1764.300049,1749,1764.300049,98,1749.342861,1780.109989,1800.228886,-0.003736822,0.009631097,0.0090141,46.84489864,-10.39049675,-10.88831029,1810.321694,1722.488292
10/6/2021,1760.5,1760.5,1762.900024,1744.699951,1759.300049,56,1750.842861,1778.606657,1798.651108,0.000511494,0.009627986,0.009008734,47.15674163,-9.439849436,-10.59861812,1807.421234,1722.368756
10/7/2021,1757.900024,1757.900024,1762.400024,1752.800049,1762.400024,336,1754,1777.596659,1797.039997,-0.001476839,0.008891587,0.008854709,46.31150255,-8.794869115,-10.23786832,1802.811712,1723.028278
10/8/2021,1756.300049,1756.300049,1780,1754.199951,1757,254,1758.971436,1776.399996,1795.359998,-0.000910163,0.007880812,0.008839409,45.7678455,-8.316949605,-9.853684575,1799.289992,1723.220006
10/11/2021,1754.599976,1754.599976,1757.800049,1752.199951,1756.599976,128,1758.871425,1774.333329,1794.064442,-0.000967986,0.002784097,0.008419703,45.16119229,-7.983349567,-9.479617573,1794.77539,1723.994605
10/12/2021,1758.300049,1758.300049,1768,1749.800049,1751.900024,139,1759.057146,1772.643331,1792.603331,0.002108785,0.00288539,0.008419193,46.81356602,-7.335841136,-9.050862286,1785.709318,1728.420687
10/13/2021,1793.699951,1793.699951,1794.5,1760.800049,1760.800049,150,1762.985718,1771.933329,1791.457775,0.020133027,0.008092356,0.009231153,59.4137222,-3.921010798,-8.024891988,1786.098793,1728.161204
10/14/2021,1796.699951,1796.699951,1799.900024,1792,1792.199951,337,1768.285714,1771.386662,1790.396663,0.001672521,0.007674258,0.009237446,60.27267298,-0.961573801,-6.612228351,1792.900158,1725.569837
10/15/2021,1767.199951,1767.199951,1795.400024,1766.599976,1794.5,874,1769.24285,1770.003328,1788.996663,-0.016418991,0.010674454,0.009692567,49.23767966,-0.985244827,-5.486831646,1793.643905,1726.606083
10/18/2021,1764.800049,1764.800049,1770.099976,1759.5,1761.599976,266,1770.228568,1767.799996,1787.558887,-0.001358025,0.010670711,0.009376383,48.46036908,-1.184007844,-4.626266886,1793.849351,1726.700637
10/19/2021,1769.699951,1769.699951,1785,1767.5,1777.599976,51,1772.14284,1766.92666,1786.362219,0.002776463,0.010674244,0.008764448,50.18937903,-0.935365486,-3.888086606,1793.053062,1726.86692
10/20/2021,1784.099976,1784.099976,1785.599976,1774,1774.599976,127,1776.357125,1766.706661,1785.474441,0.008136986,0.010927009,0.008888984,54.97034145,0.418819112,-3.026705462,1794.316847,1726.343138
10/21/2021,1781.199951,1781.199951,1785.699951,1781,1782,146,1779.62854,1766.166659,1784.659996,-0.001625483,0.011036246,0.008863288,53.84936353,1.243676105,-2.172629149,1796.632889,1727.377096
10/22/2021,1795.5,1795.5,1806.900024,1784,1787.099976,532,1779.88569,1766.363326,1783.948885,0.008028323,0.008316956,0.008954339,58.35870759,3.016503272,-1.134802665,1801.338416,1727.251574
10/25/2021,1806,1806,1809,1794,1794.300049,140,1781.214268,1766.829993,1784.306662,0.005847953,0.008587738,0.009012654,61.34529036,5.208701158,0.1338981,1807.688679,1726.501311
10/26/2021,1792.699951,1792.699951,1808.800049,1788.599976,1808.800049,359,1784.857125,1766.429993,1784.582217,-0.007364368,0.005795068,0.009023515,55.8783705,5.80590414,1.268299308,1809.319162,1730.560818
10/27/2021,1797.900024,1797.900024,1798.099976,1791.5,1791.5,543,1789.585693,1766.613326,1784.761106,0.002900694,0.005596177,0.00895133,57.47408806,6.622454722,2.339130391,1808.102614,1739.417369
10/28/2021,1801.599976,1801.599976,1807.300049,1795.5,1795.5,452,1794.14284,1768.179993,1785.042216,0.002057929,0.00560052,0.008005962,58.62080887,7.48188556,3.367681425,1811.357249,1740.792727
10/29/2021,1783,1783,1797,1774.599976,1793.099976,583,1793.9857,1769.299992,1785.049993,-0.010324143,0.006766743,0.008238259,51.1532545,6.58620642,4.011386424,1811.651774,1743.098202
11/1/2021,1795.099976,1795.099976,1795.099976,1786.699951,1787.5,142,1795.971418,1770.409989,1785.26666,0.006786302,0.007178529,0.008230327,55.15540568,6.774647238,4.564038586,1813.524523,1744.115455
11/2/2021,1788.699951,1788.699951,1795.5,1787.699951,1790.5,213,1794.999983,1770.833321,1785.401104,-0.003565275,0.006639779,0.00814297,52.69606949,6.33453884,4.918138637,1814.062228,1746.487748
11/3/2021,1763.599976,1763.599976,1768,1761.800049,1768,108,1788.942836,1770.396655,1785.223326,-0.014032524,0.007637373,0.008551117,44.34485874,3.915258837,4.717562677,1813.87969,1746.980283
11/4/2021,1793,1793,1798.199951,1776.199951,1776.599976,103,1788.9857,1771.906657,1785.558881,0.016670461,0.010430591,0.008529204,53.61716177,4.320494299,4.638149001,1814.381938,1749.988032
11/5/2021,1816.400024,1816.400024,1817.099976,1794.900024,1794.900024,239,1791.628557,1774.129993,1786.065548,0.013050767,0.011536486,0.00881379,59.41307387,6.455418683,5.001602938,1818.366052,1752.013916
11/8/2021,1827.400024,1827.400024,1827.400024,1816.900024,1817,261,1795.314279,1776.709993,1786.63777,0.006055935,0.011665769,0.008853537,61.8278253,8.932007089,5.787683768,1823.713232,1753.946741
11/9/2021,1830.199951,1830.199951,1832.699951,1820.699951,1826.099976,170,1802.057129,1779.856657,1787.166659,0.001532191,0.010349077,0.008666208,62.44038173,10.99392086,6.828931186,1828.770878,1756.079085
11/10/2021,1847.599976,1847.599976,1865,1824.900024,1825.800049,795,1809.557129,1784.059989,1787.767769,0.009507171,0.010530084,0.00856219,66.08293067,13.87212965,8.237570879,1838.714741,1751.525224
11/11/2021,1863.199951,1863.199951,1866.5,1853.900024,1853.900024,292,1820.199986,1787.656653,1788.453324,0.008443373,0.010025165,0.008011272,68.98687631,17.21349209,10.03275512,1851.196832,1745.693133
11/12/2021,1867.900024,1867.900024,1867.900024,1847.599976,1860.800049,210,1835.099993,1791.35332,1789.212214,0.002522581,0.005451536,0.008009252,69.8251403,20.01013811,12.02823172,1862.224371,1744.735602
11/15/2021,1866.099976,1866.099976,1866.900024,1864.5,1864.5,87,1845.542847,1794.683321,1789.835547,-0.000963675,0.004967284,0.008004812,69.05530698,21.82961314,13.988508,1870.458722,1746.631244
11/16/2021,1853.599976,1853.599976,1853.599976,1853.599976,1853.599976,1,1850.857125,1797.816654,1790.369991,-0.006698462,0.005677647,0.008094066,63.79532616,22.00920625,15.59264765,1874.926173,1750.553795
11/17/2021,1869.699951,1869.699951,1869.699951,1862.599976,1862.599976,2,1856.899972,1801.456653,1791.03999,0.008685788,0.005998152,0.008187363,67.25497713,23.18342447,17.11080302,1882.431649,1751.608317
11/18/2021,1861,1861,1861,1861,1861,9,1861.299979,1804.893319,1791.447767,-0.004653127,0.006713209,0.008254676,63.71202459,23.14518425,18.31767926,1886.928413,1755.091558
11/19/2021,1851.199951,1851.199951,1851.199951,1851.199951,1851.199951,21,1861.814261,1808.056649,1791.7011,-0.005266012,0.006424757,0.008344259,59.88505125,22.06969089,19.06808159,1889.873339,1757.716627
11/22/2021,1806,1806,1841.599976,1805.699951,1841.599976,14,1853.64284,1809.769983,1791.606656,-0.024416569,0.01030961,0.009613193,46.12390744,17.36986734,18.72843874,1889.873339,1757.716627
11/23/2021,1783.5,1783.5,1795.5,1783.5,1795.5,264,1841.585693,1810.609981,1791.326656,-0.012458472,0.010187643,0.009918708,41.06520288,11.69485039,17.32172107,1890.393614,1756.276357
11/24/2021,1784.099976,1784.099976,1793,1781.400024,1793,188,1829.871408,1810.289982,1791.028878,0.000336403,0.010317243,0.009201621,41.25023839,7.1631987,15.2900166,1891.007583,1754.282383
11/26/2021,1785.300049,1785.300049,1791.400024,1785.300049,1791.099976,186800,1820.114275,1809.909985,1790.833322,0.000672649,0.01064699,0.009196647,41.64489646,3.626859783,12.95738523,1891.551852,1752.108121
11/29/2021,1782.300049,1782.300049,1798.900024,1779.099976,1791.699951,26926,1807.628575,1810.413322,1790.581101,-0.00168039,0.00896568,0.008677785,40.90513635,0.575575904,10.48102337,1891.595442,1751.994536
11/30/2021,1773.599976,1773.599976,1808.099976,1768.699951,1783.900024,4903,1795.142857,1810.706653,1790.272211,-0.004881374,0.008957064,0.008724995,38.75510696,-2.515613329,7.881696028,1892.758228,1748.68175
12/1/2021,1781.599976,1781.599976,1790.5,1772.300049,1774.800049,1128,1785.200003,1811.10332,1790.082212,0.0045106,0.00994617,0.008748348,41.78517188,-4.270640639,5.451228694,1893.09753,1747.632451
12/2/2021,1760.699951,1760.699951,1780.900024,1760.599976,1780.900024,1557,1778.728568,1810.323319,1789.6511,-0.011731042,0.006447812,0.00888252,36.67956141,-7.264232182,2.908136519,1893.414717,1747.025261
12/3/2021,1782,1782,1785.099976,1766.5,1767.5,694,1778.514282,1810.349988,1789.456656,0.012097489,0.007432631,0.009166151,44.16702529,-7.827706194,0.760967977,1893.833498,1745.50648
12/6/2021,1777.5,1777.5,1783,1777.199951,1780.199951,381,1777.571429,1809.749988,1788.859989,-0.002525253,0.007483376,0.009051419,43.00991175,-8.538944167,-1.099014452,1894.135832,1741.314144
12/7/2021,1782.599976,1782.599976,1786.099976,1772.300049,1779.5,308,1777.185704,1808.969987,1788.526656,0.002869185,0.007586347,0.008997876,44.77573818,-8.592036331,-2.597618828,1893.244735,1737.725236
12/8/2021,1783.400024,1783.400024,1789.900024,1779,1789.900024,1383,1777.342843,1808.659989,1788.141101,0.00044881,0.007559339,0.008901767,45.06330863,-8.471896253,-3.772474313,1891.804122,1734.485856
12/9/2021,1774.599976,1774.599976,1783.5,1771.800049,1783.5,455,1777.4857,1807.883321,1787.746657,-0.004934422,0.007565205,0.008924542,42.44515153,-8.983221782,-4.814623807,1888.194948,1730.79503
12/10/2021,1782.900024,1782.900024,1785.400024,1769.099976,1773.800049,545,1777.671422,1807.259989,1787.43999,0.004677138,0.007581612,0.00896211,45.65240446,-8.619347896,-5.575568624,1880.937376,1730.02261
12/13/2021,1786.300049,1786.300049,1787.099976,1783.800049,1784.400024,206,1781.328578,1807.369991,1787.231102,0.001907019,0.005489674,0.008766863,46.95638316,-7.964808313,-6.053416562,1871.553776,1731.246212
12/14/2021,1770.400024,1770.400024,1787,1769,1787,322,1779.671439,1806.546659,1787.346658,-0.008901094,0.00479482,0.008821905,41.89413086,-8.62960337,-6.568653924,1861.306189,1731.923804
12/15/2021,1762.599976,1762.599976,1778.699951,1753.900024,1767.400024,283,1777.542864,1805.67666,1787.782213,-0.004405812,0.004949758,0.008833553,39.63661938,-9.674337257,-7.18979059,1852.761678,1731.368315
